Näringsvärden per 100 gram livsmedel
Livsmedelsnamn;Livsmedelsnummer;Energi (kJ)(kJ);Energi (kcal)(kcal);Protein(g);Fett(g);Kolhydrater(g);Fibrer(g);Salt(g);Aska(g);Vatten(g);Alkohol(g);Monosackarider(g);Disackarider(g);Sackaros(g);Fullkorn totalt(g);Summa mättade fettsyror(g);Fettsyra 4:0-10:0(g);Fettsyra 12:0(g);Fettsyra 14:0(g);Fettsyra 16:0(g);Fettsyra 18:0(g);Fettsyra 20:0(g);Summa enkelomättade fettsyror(g);Fettsyra 16:1(g);Fettsyra 18:1(g);Summa fleromättade fettsyror(g);Summa n-6 fettsyror(g);Fettsyra 18:2(g);Fettsyra 20:4(g);Summa n-3 fettsyror(g);Fettsyra 18:3(g);Summa långa n-3 fettsyror(g);EPA (Fettsyra 20:5)(g);DPA (Fettsyra 22:5)(g);DHA (Fettsyra 22:6)(g);Summa transfettsyror(g);Kolesterol(mg);Vitamin A();Retinol(µg);beta-Karoten(µg);Vitamin D(µg);Vitamin E(mg);Vitamin K(µg);Tiamin(mg);Riboflavin(mg);Vitamin C(mg);Niacin(mg);Niacinekvivalenter();Vitamin B6(mg);Vitamin B12(µg);Fosfor(mg);Folat(µg);Jod(µg);Avfall (skal etc.)(%);Järn(mg);Kalcium(mg);Kalium(mg);Magnesium(mg);Natrium(mg);Selen(µg);Zink(mg);
Bordsmargarin fett 60% berikad typ Carlshamn Runda Bords;2402;2246;537;0,3;60,0;1,2;0,0;1,5;1,5;37,0;0,0;0,0;1,2;0,0;0;22,3;1,4;4,5;2,0;12,2;1,7;0,3;23,9;0,1;22,4;11,1;7,1;7,1;0,0;3,8;3,9;0,0;0,0;0,0;0,0;0,3;0,0;900;;;7,50;8,0;;0,00;0,00;0;0,0;0,1;0,00;0,00;0;0;;;0,00;0;0;0;600;0,0;0,00;
Bordsmargarin mjölkfri fett 70% berikad typ Carlshamn;2403;2590;619;0,0;70,0;0,0;0,0;0,8;0,8;29,3;0,0;0,0;0,0;0,0;0;21,6;1,7;5,3;2,1;10,1;1,8;0,3;30,7;0,1;29,4;14,6;9,6;9,6;0,0;4,8;4,9;0,0;0,0;0,0;0,0;0,1;0,0;800;;;10,00;10,0;;0,00;0,00;0;0,0;0,0;0,00;0,00;0;0;;;0,00;0;0;0;300;0,0;0,00;
Hushållsmargarin mjölkfri fett 80% berikad typ Carlshamn;2404;2960;707;0,0;80,0;0,0;0,0;1,0;1,0;19,0;0,0;0,0;0,0;0,0;0;34,3;1,5;5,0;2,4;22,2;2,8;0,3;29,5;0,1;28,1;12,3;8,3;8,2;0,1;3,9;4,0;;0,0;0,0;0,0;0,3;0,0;900;;;7,50;9,0;;0,00;0,00;0;0,0;0,0;0,00;0,00;0;0;;;0,00;0;0;0;400;0,0;0,00;
Hushållsmargarin fett 80% berikad typ Carlshamn gottgott;2405;2969;710;0,2;80,0;0,3;0,0;1,5;1,5;18,0;0,0;0,0;0,3;0,0;0;33,9;1,5;5,1;2,4;21,9;2,5;0,3;31,2;0,2;30,3;12,2;8,5;9,4;0,0;2,8;2,8;0,0;0,0;0,0;0,0;0,2;0,0;900;;;7,50;9,0;;0,00;0,00;0;0,0;0,0;0,00;0,00;0;0;;;0,00;0;0;0;600;0,0;0,00;
Lammrygg lammhals kokt;2413;905;216;21,6;14,6;0,0;0,0;0,7;1,8;62,1;0,0;0,0;0,0;0,0;0;7,3;0,1;0,1;0,9;3,2;2,4;0,2;5,5;0,4;4,8;1,1;;0,6;0,0;;0,1;;0,0;0,0;0,0;0,0;95,5;66;65;9;0,49;0,9;;0,15;0,26;0;5,3;9,2;0,12;0,96;212;4;27;39;1,84;23;259;21;291;1,7;4,16;
Tilapia;2468;363;87;17,9;1,6;0,0;0,0;0,1;1,0;80,3;0,0;0,0;0,0;0,0;0;0,4;0,0;0,0;0,0;0,2;0,1;0,0;0,4;0,1;0,3;0,3;0,2;0,2;0,0;0,1;0,0;0,1;0,0;0,0;0,0;0,0;47,0;1;1;0;24,30;0,7;2;0,05;0,05;0;4,0;7,2;0,18;1,05;181;24;4;;0,16;18;353;28;27;27,8;0,34;
Flytande margarin fett 80% berikad typ Mjuka Milda;2470;2972;710;0,3;80,0;0,4;0,0;1,5;1,5;17,8;0,0;0,0;0,4;0,0;0;10,0;0,0;0,1;0,2;5,6;1,4;0,0;48,0;0,0;45,7;22,0;;15,9;0,0;;8,2;;0,0;0,0;0,0;0,5;0,0;800;;;10,00;18,0;;0,00;0,00;0;0,0;0,1;0,00;0,00;0;0;;0;0,00;0;0;0;600;0,0;0,00;
Lättmargarin fett 39% berikad typ Milda;2471;1497;358;0,2;39,0;3,0;0,0;1,2;1,2;56,6;0,0;0,0;0,3;0,0;0;13,0;0,4;2,2;0,9;7,5;1,2;0,0;13,0;0,0;17,0;13,0;;5,0;0,0;;1,7;;0,0;0,0;0,0;0,5;0,0;800;800;0;10,00;9,0;;0,00;0,00;0;0,0;0,0;0,00;0,00;0;0;;;0,00;0;0;0;480;0,0;0,00;
Lättmargarin fett 28% berikad typ Mini Lätta;2472;1138;272;2,0;28,0;4,0;0,0;1,5;1,5;64,5;0,0;0,0;0,3;0,0;0;12,0;0,5;3,2;1,1;5,1;0,7;0,0;12,0;0,0;12,2;4,0;;3,6;0,0;;1,2;;0,0;0,0;0,0;0,5;0,0;800;800;0;10,00;3,0;;0,00;0,00;0;0,0;0,3;0,00;0,00;0;0;;;0,00;0;0;0;600;0,0;0,00;
Flytande margarin fett 82% typ Becel;2474;3043;727;0,0;82,0;0,5;0,0;0,0;0,0;17,5;0,0;0,0;0,0;0,0;0;10,0;0,0;0,1;0,1;4,4;3,2;0,0;30,0;0,0;29,7;42,0;;35,0;0,0;;5,3;;0,0;0,0;0,0;0,5;0,0;0;0;0;0,00;24,0;;0,00;0,00;0;0,0;0,0;0,00;0,00;0;0;;;0,00;0;0;0;0;0,0;0,00;
Basmatiris okokt;2475;1501;359;9,2;1,0;76,7;0,5;0,0;0,6;12,0;0,0;0,0;0,2;0,2;0;0,2;0,0;0,0;0,0;0,2;0,0;0,0;0,3;0,0;0,3;0,3;;0,3;0,0;;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0;0;0;0,00;0,0;;0,14;0,05;0;1,3;2,8;0,42;0,00;101;9;;;0,40;18;76;26;0;14,0;1,50;
Jasminris okokt;2477;1483;354;7,5;0,7;78,2;0,0;0,0;0,6;13,0;0,0;0,1;0,0;0,0;0;0,1;0,0;0,0;0,0;0,1;0,0;0,0;0,2;0,0;0,2;0,2;;0,2;0,0;;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0;0;0;0,00;0,0;;0,04;0,05;0;0,7;2,0;0,75;0,00;68;11;;;0,00;0;56;10;0;0,0;1,60;
Råris fullkorn långkornigt okokt;2478;1527;365;9,4;3,0;71,9;4,2;0,0;1,5;10,0;0,0;0,0;0,5;0,5;100;0,6;0,0;0,0;0,0;0,5;0,0;0,0;1,1;0,0;1,0;1,1;;1,1;0,0;;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0;0;0;0,00;0,0;;0,40;0,05;0;5,4;7,0;0,60;0,00;282;14;;;1,30;11;193;115;3;14,0;2,10;
Grötris 5-25 min koktid okokt;2479;1523;364;6,4;0,6;81,3;1,2;1,7;0,5;10,0;0,0;0,1;3,6;3,6;0;0,1;0,0;0,0;0,0;0,1;0,0;0,0;0,2;0,0;0,2;0,2;;0,2;0,0;;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0;0;0;0,00;0,0;;0,11;0,05;0;1,3;2,4;0,29;0,00;79;7;;;0,00;4;64;19;692;3,0;1,20;
Ris långkornigt okokt;2481;1474;352;7,8;0,7;76,9;1,0;0,0;0,6;13,0;0,0;0,1;0,0;0,0;0;0,1;0,0;0,0;0,0;0,1;0,0;0,0;0,2;0,0;0,2;0,2;;0,2;0,0;;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0;0;0;0,00;0,0;;0,04;0,05;0;0,5;1,8;0,56;0,00;132;9;;;0,00;0;52;9;0;0,0;1,30;
Ris långkornigt parboiled okokt;2482;1513;362;7,7;1,2;78,0;1,4;0,0;0,7;11,0;0,0;0,0;0,4;0,4;0;0,2;0,0;0,0;0,0;0,2;0,0;0,0;0,4;0,0;0,4;0,4;;0,4;0,0;;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0;0;0;0,00;0,0;;0,24;0,05;0;4,7;6,0;0,51;0,00;182;8;;;1,30;178;166;38;1;7,0;0,80;
Snabbris salt 1% okokt;2483;1509;361;7,9;0,2;79,7;1,5;0,7;0,7;10,0;0,0;0,1;0,1;0,1;0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,1;0,0;0,1;0,1;;0,1;0,0;;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0;0;0;0,00;0,0;;0,05;0,02;0;0,8;2,1;0,34;0,00;139;5;;;0,00;11;46;15;279;13,0;1,40;
Snabbris okokt;2484;1526;365;8,5;0,7;78,5;2,6;0,0;0,7;9,0;0,0;0,1;0,5;0,5;0;0,1;0,0;0,0;0,0;0,1;0,0;0,0;0,2;0,0;0,2;0,2;;0,2;0,0;;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0;0;0;0,00;0,0;;0,25;0,02;0;4,0;5,4;0,44;0,00;165;8;;;0,40;73;158;30;2;0,0;0,70;
Grötris rundkornigt 1 timmes koktid okokt;2485;1511;361;6,4;0,8;80,2;1,1;0,0;0,5;11,0;0,0;0,0;0,2;0,2;0;0,1;0,0;0,0;0,0;0,1;0,0;0,0;0,3;0,0;0,3;0,3;;0,3;0,0;;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0;0;0;0,00;0,0;;0,20;0,05;0;1,3;2,4;0,20;0,00;96;9;;;0,20;0;96;28;1;0,0;1,10;
Lättmargarin yoghurt fett 28% berikad typ Lätta;2488;1164;278;3,0;28,0;4,5;0,0;1,0;1,0;63,5;0,0;0,0;0,5;0,0;0;9,0;0,3;2,2;0,8;4,8;0,8;0,0;14,0;0,0;12,6;5,0;;3,6;0,0;;1,7;;0,0;0,0;0,0;0,5;0,0;800;;;10,00;4,0;;0,00;0,00;0;0,0;0,5;0,00;0,00;0;0;;;0,00;0;0;0;400;0,0;0,00;
Lättmargarin fett 38% berikad Becel olive;2489;1457;348;0,0;38,0;3,0;0,0;1,0;1,0;58,0;0,0;0,0;0,0;0,0;0;9,0;0,1;0,8;0,3;4,8;1,2;0,0;13,0;0,0;11,0;16,0;;13,2;0,0;;2,9;;0,0;0,0;0,0;0,5;0,0;800;;;20,00;11,0;;0,00;0,00;0;0,0;0,0;0,00;0,00;0;0;;;0,00;0;0;0;400;0,0;0,00;
Bordsmargarin fett 70% berikad typ Becel Gold;2490;2605;623;0,4;70,0;0,5;0,0;1,3;1,3;27,9;0,0;0,0;0,5;0,0;0;19,0;0,2;3,2;1,2;11,1;2,4;0,0;16,0;0,0;18,8;35,0;;25,4;0,0;;6,1;;0,0;0,0;0,0;0,5;0,0;800;;;10,00;11,0;;0,00;0,00;0;0,0;0,1;0,00;0,00;0;0;;;0,00;0;0;0;500;0,0;0,00;
Köttfärs blandfärs nöt 70% gris 30% rå;2492;852;204;18,7;15,0;0,0;0,0;0,2;0,9;66,6;0,0;0,0;0,0;0,0;0;6,6;0,0;0,0;0,4;3,6;2,1;0,0;6,7;0,6;5,8;1,0;0,2;0,7;0,0;0,1;0,1;0,0;0,0;0,0;0,0;0,3;60,6;12;10;20;0,28;0,6;6;0,23;0,17;0;4,2;7,6;0,29;1,29;167;3;2;0;1,61;7;294;21;75;5,4;4,31;
Köttfärs blandfärs nöt 50% gris 50% rå ;2499;850;203;18,2;15,0;0,0;0,0;0,2;1,0;66,7;0,0;0,0;0,0;0,0;0;6,5;0,0;0,0;0,4;3,7;2,2;0,0;6,5;0,6;5,7;1,2;0,2;0,9;0,0;0,1;0,1;0,0;0,0;0,0;0,0;0,2;59,9;11;10;14;0,36;0,5;4;0,34;0,19;0;4,0;7,4;0,31;1,11;171;2;1;0;1,39;7;303;22;70;5,5;3,91;
Döner kebab;2506;710;170;10,8;6,3;16,8;1,1;1,0;1,5;63,5;0,0;1,2;0,6;0,4;0;1,2;0,0;0,0;0,0;0,8;0,3;0,0;1,7;0,0;1,6;2,9;;2,5;0,0;;0,4;0,0;0,0;0,0;0,0;0,0;34,2;9;2;83;0,23;0,9;2;0,06;0,09;7;2,4;4,4;0,16;0,42;109;13;0;1;1,53;16;208;20;407;1,8;2,32;
Kebab special m pommes frites;2507;993;237;6,4;16,6;15,3;1,4;1,0;1,8;58,6;0,0;0,9;0,2;0,1;0;4,7;0,1;0,0;0,3;2,6;1,4;0,1;8,9;0,3;8,3;2,1;0,7;1,3;0,0;0,3;0,4;0,0;0,0;0,0;0,0;0,3;24,1;23;14;89;0,05;2,4;12;0,09;0,05;4;2,2;3,4;0,17;0,25;92;12;2;0;1,04;23;394;20;381;1,7;1,18;
Korv mos ketchup senap bostongurka;2508;443;106;3,4;4,5;12,3;1,0;0,9;1,4;77,3;0,0;1,1;1,3;1,0;0;1,7;0,0;0,0;0,1;1,0;0,5;0,0;2,1;0,2;1,8;0,5;;0,3;0,0;;0,1;;0,0;0,0;0,0;0,0;11,1;4;2;31;0,03;0,2;;0,04;0,05;7;1,0;1,6;0,18;0,29;63;6;0;0;0,63;24;254;14;349;0,7;0,54;
Korv bröd ketchup senap;2509;1100;263;10,1;14,4;22,5;1,4;1,7;2,3;49,3;0,0;1,9;2,0;1,5;0;5,0;0,0;0,0;0,2;3,1;1,5;0,0;6,8;0,5;5,9;1,7;;1,3;0,0;;0,2;0,0;0,0;0,0;0,0;;37,6;16;15;7;0,21;0,6;;0,14;0,15;1;2,1;3,9;0,14;0,79;115;12;0;0;1,61;60;200;22;676;2,0;1,27;
Hamburgare m bröd ost dubbel från gatukök restaurang;2510;1076;257;17,0;13,3;17,5;1,4;1,1;2,1;49,5;0,0;1,8;1,5;0,9;0;6,5;0,5;0,2;0,7;3,3;1,6;0,0;4,8;0,4;4,2;0,6;0,2;0,5;0,0;0,1;0,1;0,0;0,0;0,0;0,0;0,4;43,4;58;55;43;0,20;0,7;5;0,10;0,16;1;3,0;6,3;0,18;0,94;202;18;23;0;1,32;144;230;24;436;4,8;3,31;
Hamburgare m bröd 90 g från gatukök restaurang;2511;1025;245;11,9;13,5;18,9;1,7;0,9;1,5;53,2;0,0;2,1;1,1;0,5;0;3,7;0,0;0,0;0,2;2,2;1,1;0,0;7,0;0,3;6,5;1,6;0,9;1,2;0,0;0,3;0,4;0,0;0,0;0,0;0,0;0,2;32,0;22;19;34;0,19;1,9;13;0,10;0,11;1;2,9;5,0;0,18;0,65;117;20;21;1;1,26;22;220;19;352;3,2;2,58;
Hamburgare m bröd ost från gatukök restaurang;2512;1070;256;14,4;10,8;24,8;2,1;1,0;1,9;46,7;0,0;2,4;1,6;0,8;0;5,0;0,4;0,1;0,5;2,5;1,2;0,0;3,8;0,3;3,4;0,7;0,1;0,5;0,0;0,1;0,1;0,0;0,0;0,0;0,0;0,3;32,2;50;47;36;0,21;0,7;3;0,12;0,15;1;2,8;5,5;0,18;0,73;174;21;17;0;1,18;113;207;23;408;3,9;2,63;
Basmatiris kokt;2513;507;121;3,1;0,3;25,9;0,2;0,6;0,8;69,7;0,0;0,0;0,1;0,1;0;0,1;0,0;0,0;0,0;0,1;0,0;0,0;0,1;0,0;0,1;0,1;;0,1;0,0;;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0;0;0;0,00;0,0;;0,04;0,02;0;0,4;0,9;0,09;0,00;35;2;28;0;0,14;7;23;9;220;4,7;0,51;
Jasminris kokt;2514;475;113;2,4;0,2;25,0;0,0;0,5;0,7;71,6;0,0;0,0;0,0;0,0;0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,1;0,0;0,1;0,1;;0,1;0,0;;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0;0;0;0,00;0,0;;0,01;0,01;0;0,2;0,6;0,14;0,00;22;2;26;0;0,00;1;16;3;209;0,0;0,51;
Ris långkornigt kokt;2515;472;113;2,5;0,2;24,6;0,3;0,5;0,7;71,6;0,0;0,0;0,0;0,0;0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,1;0,0;0,1;0,1;;0,1;0,0;;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0;0;0;0,00;0,0;;0,01;0,01;0;0,2;0,6;0,11;0,00;43;2;26;0;0,00;1;15;3;209;0,0;0,42;
Ris långkornigt parboiled kokt;2516;540;129;2,8;0,4;27,9;0,5;0,6;0,8;67,6;0,0;0,0;0,1;0,1;0;0,1;0,0;0,0;0,0;0,1;0,0;0,0;0,1;0,0;0,1;0,1;;0,1;0,0;;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0;0;0;0,00;0,0;;0,07;0,02;0;1,7;2,1;0,11;0,00;65;2;29;0;0,47;64;53;14;233;2,5;0,29;
Råris fullkorn långkornigt kokt;2517;579;138;3,6;1,1;27,3;1,6;0,6;1,2;65,3;0,0;0,0;0,2;0,2;38;0,2;0,0;0,0;0,0;0,2;0,0;0,0;0,4;0,0;0,4;0,4;;0,4;0,0;;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0;0;0;0,00;0,0;;0,13;0,02;0;2,0;2,7;0,14;0,00;107;4;30;0;0,50;5;65;44;235;5,3;0,80;
Snabbris salt 1% kokt;2518;508;121;2,7;0,1;26,8;0,5;0,2;0,2;69,7;0,0;0,0;0,0;0,0;0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;;0,0;0,0;;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0;0;0;0,00;0,0;;0,01;0,01;0;0,3;0,7;0,07;0,00;47;1;;;0,00;4;14;5;94;4,4;0,47;
Snabbris kokt;2519;543;130;3,0;0,2;28,0;0,9;1,2;1,5;66,4;0,0;0,0;0,2;0,2;0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,1;0,0;0,1;0,1;;0,1;0,0;;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0;0;0;0,00;0,0;;0,08;0,01;0;1,4;1,9;0,09;0,00;60;2;62;0;0,15;28;51;11;494;0,0;0,25;
Tagliatelle äggpasta glutenfritt kokt;2520;665;159;1,1;1,9;34,0;0,0;0,3;0,3;62,8;0,0;0,0;0,0;0,0;0;0,6;0,0;0,0;0,0;0,4;0,2;0,0;0,8;0,1;0,7;0,2;0,2;0,2;0,0;0,0;0,0;;0,0;0,0;0,0;0,0;11,2;13;12;7;0,00;0,4;0;0,01;0,03;0;0,0;0,1;0,01;0,12;23;3;13;0;0,31;13;11;3;101;1,5;0,13;
Pasta glutenfri kokt;2521;640;153;3,1;0,5;32,8;1,2;0,2;0,6;61,8;0,0;0,0;0,4;0,3;0;0,2;0,0;0,0;0,0;0,1;0,1;0,0;0,1;0,0;0,1;0,2;0,2;0,2;0,0;0,0;0,0;;0,0;0,0;0,0;0,0;0,0;0;0;0;0,00;0,0;0;0,02;0,02;0;0,1;0,5;0,03;0,00;43;12;12;0;0,85;20;114;20;92;0,0;0,33;
Pasta majs 100% glutenfri kokt;2522;649;155;2,9;0,8;33,0;1,2;0,2;0,5;61,6;0,0;0,1;0,2;0,2;0;0,1;0,0;0,0;0,0;0,1;0,0;0,0;0,2;0,0;0,2;0,4;0,4;0,4;0,0;0,0;0,0;;0,0;0,0;0,0;0,0;0,0;2;0;10;0,00;0,0;0;0,02;0,02;0;0,5;0,8;0,06;0,00;39;4;12;0;0,39;2;56;16;90;2,1;0,33;
Mjölksås m ost till moussaka;2524;463;111;7,7;5,3;8,0;0,1;0,8;1,8;77,0;0,0;0,1;4,4;0,0;0;2,7;0,3;0,1;0,4;1,4;0,5;0,0;1,5;0,1;1,4;0,4;0,2;0,3;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,1;72,2;73;71;20;0,57;1,1;6;0,08;0,22;0;0,3;2,1;0,07;0,81;169;23;48;2;0,39;175;181;16;339;6,3;0,89;
Gröna ärter kokta;2547;288;69;5,2;0,4;8,9;4,4;0,7;1,2;80,0;0,0;0,0;5,0;5,0;0;0,1;0,0;0,0;0,0;0,1;0,0;0,0;0,0;0,0;0,0;0,2;;0,2;0,0;;0,0;;0,0;0,0;0,0;0,0;0,0;31;0;363;0,00;0,0;38;0,15;0,07;10;1,6;2,5;0,07;0,00;88;58;28;0;1,26;22;126;21;276;0,0;0,72;
Kalops älg;2548;279;67;8,3;2,2;3,1;0,7;0,7;1,3;83,9;0,0;0,9;0,7;0,6;0;0,3;0,0;0,0;0,0;0,2;0,1;0,0;1,1;0,0;1,1;0,6;0,4;0,4;0,0;0,1;0,2;0,0;0,0;0,0;0,0;0,0;23,8;151;5;1471;0,09;0,8;6;0,06;0,11;1;2,2;3,7;0,12;0,74;82;7;35;4;1,21;13;177;12;295;2,7;1,66;
Älghögrev;2552;471;113;22,5;2,3;0,2;0,0;0,1;1,0;73,9;0,0;0,0;0,0;0,0;0;0,9;0,0;0,0;0,0;0,3;0,5;0,0;0,8;0,0;0,8;0,3;0,2;0,2;0,0;0,1;0,1;;0,0;0,0;0,0;0,1;55,2;3;3;0;0,00;0,6;1;0,16;0,30;0;4,8;8,9;0,45;2,21;173;0;2;;2,60;13;370;22;52;6,8;5,67;
Älgryggbiff tjur;2555;443;106;23,6;1,1;0,0;0,0;0,2;1,1;74,2;0,0;0,0;0,0;0,0;0;0,4;0,0;0,0;0,0;0,1;0,2;0,0;0,3;0,0;0,3;0,3;0,2;0,1;0,1;0,1;0,0;;0,0;0,0;0,0;0,0;61,7;4;4;0;0,00;0,8;1;0,11;0,37;0;6,3;10,6;0,46;3,33;177;0;2;;3,07;4;348;19;60;8,0;3,56;
Tacoskal;2557;1916;458;7,1;20,8;58,1;4,6;1,0;2,0;7,4;0,0;0,0;1,2;1,2;0;4,4;0,0;0,0;0,0;2,9;1,5;0,0;11,8;0,0;11,8;3,7;;3,5;0,0;;0,2;;0,0;0,0;0,0;0,0;0,0;0;0;3;0,00;0,7;9;0,22;0,08;0;1,9;2,6;0,20;0,00;226;46;;;1,86;101;223;85;389;4,8;1,61;
Romansallat;2559;69;16;1,9;0,2;0,9;1,8;0,0;0,7;94,5;0,0;1,2;0,1;0,1;0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,1;;0,0;0,0;;0,1;;0,0;0,0;0,0;;0,0;91;0;1090;0,00;0,3;129;0,03;0,06;6;0,5;0,8;0,08;0,00;28;89;1;;0,54;46;300;17;7;0,0;0,31;
Rucolasallat;2561;115;28;2,6;0,7;2,0;1,7;0,1;1,4;91,7;0,0;0,2;0,7;0,7;0;0,1;0,0;0,0;0,0;0,1;0,0;0,0;0,1;0,0;0,1;0,3;;0,1;0,0;;0,2;;0,0;0,0;0,0;0,0;0,0;118;0;1424;0,00;0,4;;0,04;0,09;15;0,3;0,7;0,07;0,00;52;97;;;1,46;160;369;47;27;0,3;0,47;
Inlagd sill m gräddfilssås;3035;1211;289;5,2;23,2;15,6;0,0;4,6;4,9;51,1;0,0;0,9;13,0;12,6;0;3,3;0,1;0,1;0,5;1,9;0,5;0,1;12,7;0,3;10,3;5,6;3,1;3,1;0,0;2,3;1,4;0,8;0,3;0,0;0,4;0,2;42,0;27;25;15;6,07;4,6;22;0,01;0,07;0;0,5;1,5;0,04;3,70;48;4;186;15;0,38;25;49;9;1853;7,7;0,26;
Senapssill m sås;3036;992;237;5,6;17,8;13,7;0,5;2,1;2,6;59,8;0,0;1,8;10,1;10,0;0;1,6;0,0;0,0;0,2;1,0;0,2;0,1;10,2;0,2;7,7;4,6;2,4;2,6;0,0;1,7;1,4;0,5;0,2;0,0;0,3;0,1;18,7;9;4;62;5,70;4,4;15;0,03;0,11;0;0,6;1,6;0,04;2,97;86;0;17;15;0,83;42;85;45;832;8,1;0,43;
Bulgur kokt;3136;359;86;3,0;0,3;16,6;1,9;0,5;0,9;77,4;0,0;0,0;0,1;0,1;0;0,1;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,1;;0,1;0,0;;0,0;;0,0;0,0;0,0;0,0;0,0;0;0;0;0,00;0,0;;0,05;0,03;0;1,2;1,7;0,05;0,00;73;5;27;0;0,60;9;89;40;214;0,6;0,47;
Ren korv rå;3141;1056;252;17,2;18,8;4,0;0,0;2,8;3,5;56,5;0,0;0,9;0,0;0,0;0;6,8;0,0;0,0;0,3;3,9;2,3;0,1;8,7;0,4;8,0;2,3;1,8;1,7;0,1;0,4;0,4;0,0;0,0;0,0;0,0;0,1;66,7;181;180;9;0,09;5,0;11;0,23;0,28;0;4,7;7,9;0,23;1,51;140;2;5;0;2,13;10;230;17;1100;10,5;2,97;
Lamm korv rå;3213;1066;255;15,9;19,3;4,8;0,0;2,4;3,1;56,9;0,0;0,4;0,2;0,2;0;8,6;0,0;0,0;0,5;4,4;2,9;0,0;8,0;0,7;6,9;0,9;0,5;0,6;0,0;0,2;0,2;0,0;0,0;0,0;0,0;0,6;62,7;122;118;45;0,16;2,9;16;0,10;0,17;0;3,8;6,8;0,17;1,95;160;5;4;23;2,38;16;230;16;970;21,7;3,51;
Älgfärs;3323;443;106;22,6;1,6;0,0;0,0;0,1;1,0;75,0;0,0;0,0;0,0;0,0;0;0,6;0,0;0,0;0,0;0,2;0,3;0,0;0,5;0,0;0,4;0,3;0,2;0,1;0,0;0,1;0,0;;0,0;0,0;0,0;0,0;56,0;6;6;0;0,00;0,8;1;0,14;0,34;0;4,8;9,0;0,33;3,26;185;0;2;;3,05;4;355;21;56;7,5;6,87;
Älg ytterlår ;3324;425;102;22,1;1,3;0,0;0,0;0,1;1,1;73,9;0,0;0,0;0,0;0,0;0;0,4;0,0;0,0;0,0;0,2;0,2;0,0;0,4;0,0;0,4;0,3;0,2;0,2;0,0;0,1;0,1;;0,0;0,0;0,0;0,0;67,3;2;2;0;0,00;0,8;1;0,18;0,42;0;5,5;9,5;0,48;3,20;202;0;2;;3,13;4;362;22;46;7,5;4,54;
Linfröolja;3433;3700;884;0,0;100,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0;7,9;0,1;0,0;0,0;4,5;2,9;0,2;20,4;0,1;19,9;66,9;14,3;14,4;0,0;52,4;52,3;;0,0;0,0;0,0;0,0;0,0;6;0;61;0,00;6,7;22;0,00;0,00;0;0,0;0,0;0,00;0,00;0;0;0;;0,00;0;0;0;0;0,0;0,00;
Inlagd sill;3500;1024;245;9,8;14,0;20,0;0,0;2,9;3,2;53,1;0,0;1,7;16,0;15,9;0;2,4;0,0;0,0;0,7;1,4;0,2;0,0;6,6;0,5;3,1;3,3;0,9;0,8;0,1;2,3;0,5;1,6;0,6;0,1;0,8;0,1;47,5;15;11;41;11,27;1,7;4;0,00;0,09;0;1,1;2,9;0,07;6,48;68;0;51;0;0,57;20;64;15;1155;13,6;0,39;
Quinoa röd kokt m salt;3518;586;140;4,4;2,4;21,7;6,7;0,7;1,3;63,5;0,0;0,0;0,7;0,7;0;0,2;0,0;0,0;0,0;0,2;0,0;0,0;0,6;0,0;0,6;1,0;0,9;0,9;0,0;0,1;0,1;;0,0;0,0;0,0;0,0;0,0;0;0;3;0,00;1,1;1;0,10;0,07;0;0,4;1,1;0,13;0,00;172;87;39;;1,60;14;209;83;277;2,7;1,09;
